Channel Name, Longitude, Direction
8TV, 75.0, E
AMC Balkan, 75.0, E
Animax Korea, 75.0, E
AP1 HD, 75.0, E
Awesome TV, 75.0, E
BBC Earth Asia, 75.0, E
BBC One, 75.0, E
BBC Two, 75.0, E
BFBS Best of British, 75.0, E
BFBS Extra, 75.0, E
BFBS Falklands, 75.0, E
BFBS Ops, 75.0, E
BFBS Radio 2, 75.0, E
BFBS Rewind, 75.0, E
BFBS Sport, 75.0, E
BFBS UK, 75.0, E
BFBS UK Bases, 75.0, E
BFBS UK National, 75.0, E
BG+, 75.0, E
Billiards TV, 75.0, E
BNT 4, 75.0, E
Brain TV, 75.0, E
CBBC, 75.0, E
Channel 4 London, 75.0, E
Channel 5, 75.0, E
Channel U, 75.0, E
Daystar TV, 75.0, E
Dizi, 75.0, E
DM Sat, 75.0, E
Donga TV, 75.0, E
DramaCube, 75.0, E
Edaily TV, 75.0, E
Edge Sport, 75.0, E
Eight FM, 75.0, E
Enjoy TV 5, 75.0, E
Epic Drama, 75.0, E
Evil Angel TV, 75.0, E
Evrokom, 75.0, E
Fight Sports, 75.0, E
FilmBox Stars Adria, 75.0, E
Fly FM, 75.0, E
Gongyoung Home Shopping, 75.0, E
HGTV Pan Regional, 75.0, E
Hope Channel Philippines, 75.0, E
Hot FM, 75.0, E
Hwazan Satellite TV, 75.0, E
ITV 1 London, 75.0, E
KBS Life, 75.0, E
Manis FM, 75.0, E
Max Sport 3, 75.0, E
MBC, 75.0, E
MBCNet, 75.0, E
Mezzo, 75.0, E
Molek FM, 75.0, E
Movie Star, 75.0, E
News 24, 75.0, E
Nicktoons Bulgaria, 75.0, E
Nostalgia, 75.0, E
NTV 7, 75.0, E
NTV National, 75.0, E
Passion XXX 2, 75.0, E
Premier Football, 75.0, E
Premier Sports, 75.0, E
Premier Sports 2, 75.0, E
Rede CNT Rio de Janeiro, 75.0, E
SBN International, 75.0, E
SBS F!l, 75.0, E
Shopping NT, 75.0, E
Sky Cinema Delay, 75.0, E
Sky News UK, 75.0, E
Sky Sports Main Event UK, 75.0, E
Suke TV, 75.0, E
Supreme Master TV, 75.0, E
TAP Action Flix, 75.0, E
TAP Edge, 75.0, E
TAP Movies, 75.0, E
TAP Sports, 75.0, E
TAP TV, 75.0, E
TBN Asia, 75.0, E
TBN Inspire International, 75.0, E
The Movie, 75.0, E
TNT Sports 1, 75.0, E
Travel Channel Europe, 75.0, E
TV 1000 Balkan, 75.0, E
TV 3, 75.0, E
TV 9, 75.0, E
TVS, 75.0, E
Vivid TV Europe, 75.0, E
WowShop, 75.0, E
.Black, 75.0, E
.Red, 75.0, E
.Sci-fi, 75.0, E
& privé HD, 75.0, E
360° Novosti, 75.0, E
360° Novosti, 75.0, E
365 dnei TV, 75.0, E
5 Kanal, 75.0, E
5 Kanal, 75.0, E
5 Kanal International, 75.0, E
8 Kanal, 75.0, E
8TV, 75.0, E
9 Volna, 75.0, E
A1, 75.0, E
A2, 75.0, E
ABC Australia India, 75.0, E
ABP Sanjha, 75.0, E
Acapulco Shore, 75.0, E
Acasa, 75.0, E
AFN Clutch, 75.0, E
AFN Contingency, 75.0, E
AFN Country, 75.0, E
AFN Family, 75.0, E
AFN Fans, 75.0, E
AFN Freedom Rock, 75.0, E
AFN Gravity, 75.0, E
AFN Legacy, 75.0, E
AFN Movie, 75.0, E
AFN News, 75.0, E
AFN PowerTalk, 75.0, E
AFN Prime Atlantic, 75.0, E
AFN Prime Pacific, 75.0, E
AFN Seasonal, 75.0, E
AFN Spectrum, 75.0, E
AFN Sports, 75.0, E
AFN Sports 2, 75.0, E
AFN The Blend, 75.0, E
AFN The Eagle Daegu, 75.0, E
AFN The Eagle Humphreys, 75.0, E
AFN The Eagle Iwakuni, 75.0, E
AFN The Eagle Kunsan, 75.0, E
AFN The Eagle Misawa, 75.0, E
AFN The Eagle Okinawa, 75.0, E
AFN The Eagle Pacific, 75.0, E
AFN The Eagle Sasebo, 75.0, E
AFN The Eagle Tokyo, 75.0, E
AFN The Voice, 75.0, E
AFN's Joe Radio, 75.0, E
Ai FM, 75.0, E
Al Hadath, 75.0, E
Al-Bahjah TV, 75.0, E
Alarabiya, 75.0, E
Aljazeera English, 75.0, E
AMC Cesko, 75.0, E
Amedia Hit, 75.0, E
Amedia Premium, 75.0, E
Amedia Premium, 75.0, E
Anekdot TV, 75.0, E
Ani, 75.0, E
Ani, 75.0, E
ANTV, 75.0, E
Arirang World, 75.0, E
Arirang World, 75.0, E
Arsenal, 75.0, E
Asyik FM, 75.0, E
Auto Plus, 75.0, E
Avto 24, 75.0, E
Awesome TV, 75.0, E
Azteca 7 Mexico City, 75.0, E
Baby Time, 75.0, E
Bali TV, 75.0, E
Bandung TV, 75.0, E
Barely Legal TV, 75.0, E
Bashkirskoe Sputnikovoe TV, 75.0, E
BBC News Africa, 75.0, E
Belarus 24, 75.0, E
BelRos, 75.0, E
BelRos, 75.0, E
Berita RTM, 75.0, E
Berita RTM, 75.0, E
Bernama Radio, 75.0, E
Bernama TV, 75.0, E
Bharat 24, 75.0, E
Big Planet, 75.0, E
Blokbaster, 75.0, E
Blue Hustler Europe, 75.0, E
Bober, 75.0, E
Bober, 75.0, E
Bober International, 75.0, E
Boks TV, 75.0, E
Bolshaya Aziya, 75.0, E
Brazzers TV Europe, 75.0, E
Bridge TV, 75.0, E
Bridge TV, 75.0, E
Bridge TV Classic, 75.0, E
Bridge TV Classic, 75.0, E
Bridge TV Fresh, 75.0, E
Bridge TV Hits, 75.0, E
Bridge TV Hits, 75.0, E
Bridge TV Rock, 75.0, E
Bridge TV Russkiy Hit, 75.0, E
Bridge TV Russkiy Hit, 75.0, E
Bridge TV Shlyager, 75.0, E
Bridge TV Shlyager, 75.0, E
Cartoon Classics, 75.0, E
CCTV 4 Asia, 75.0, E
Centralnoe TV, 75.0, E
CGTN, 75.0, E
CGTN Documentary, 75.0, E
Che!, 75.0, E
Cinéma, 75.0, E
Cinéma, 75.0, E
Cinemachi, 75.0, E
Cinemachi Action, 75.0, E
Cinemachi Kids, 75.0, E
Cinemachi Max, 75.0, E
Cinemachi Xtra, 75.0, E
Cinemax 2 Central Europe, 75.0, E
Cinemax Central Europe, 75.0, E
Clubbing TV, 75.0, E
CNA, 75.0, E
CNN International Europe, 75.0, E
Curiosity Channel, 75.0, E
Da Ai TV Indonesia, 75.0, E
Da Vinci, 75.0, E
Dalwa TV, 75.0, E
DD Bihar, 75.0, E
DD Chhattisgarh, 75.0, E
DD Goa, 75.0, E
DD Haryana, 75.0, E
DD Himachal Pradesh, 75.0, E
DD Jharkhand, 75.0, E
DD Kashir, 75.0, E
DD Madhya Pradesh, 75.0, E
DD Manipur, 75.0, E
DD Mizoram, 75.0, E
DD Nagaland, 75.0, E
DD Tripura, 75.0, E
DD Uttarakhand, 75.0, E
Detective Jam, 75.0, E
Detski Mir, 75.0, E
DFM, 75.0, E
Dhamaka Movies B4U, 75.0, E
Dialogi o rybalke, 75.0, E
Dikaya Okhota HD, 75.0, E
Dikaya Rybalka HD, 75.0, E
Discovery Channel India, 75.0, E
Discovery HD World India, 75.0, E
Dizi, 75.0, E
DocuBox HD, 75.0, E
Dom Kino, 75.0, E
Dom Kino, 75.0, E
Dom Kino International, 75.0, E
Dom Kino Premium, 75.0, E
Dom Kino Premium, 75.0, E
Dom Kino Premium International, 75.0, E
Domashnie Zhivotnye, 75.0, E
Domashniy, 75.0, E
Domashniy, 75.0, E
Domashniy International, 75.0, E
Dorama, 75.0, E
Draiv, 75.0, E
Draiv, 75.0, E
Drama Channel, 75.0, E
DreamWorks TV Asia, 75.0, E
Dubai One, 75.0, E
Dubai Sports 3, 75.0, E
Duck TV SD, 75.0, E
DW English, 75.0, E
DW English, 75.0, E
E TV, 75.0, E
Eight FM, 75.0, E
English Class, 75.0, E
Enjoy TV 5, 75.0, E
ESPN 4 México, 75.0, E
ET Now Swadesh, 75.0, E
EuroNews English, 75.0, E
EuroNews English, 75.0, E
Europa Plus, 75.0, E
Europa Plus TV, 75.0, E
Eurosport India, 75.0, E
Evrokino, 75.0, E
Evrokino, 75.0, E
Extreme Sports Channel, 75.0, E
EZMall, 75.0, E
Family Jam, 75.0, E
Feniks plus Kino, 75.0, E
Film + Czechia, 75.0, E
Flix Snip, 75.0, E
Fly FM, 75.0, E
FMN, 75.0, E
Food Time, 75.0, E
France 24 English, 75.0, E
France 24 English, 75.0, E
Global Trekker, 75.0, E
God TV Asia, 75.0, E
GTRK Groznyj, 75.0, E
GTV, 75.0, E
Gulli Girl, 75.0, E
Happy Channel, 75.0, E
Har Khabar, 75.0, E
Harvest TV 24x7, 75.0, E
HBO 2 Central Europe, 75.0, E
HBO 3 Central Europe, 75.0, E
HD Fashión & Lifestyle, 75.0, E
HDL, 75.0, E
Hit FM, 75.0, E
Hollywood HD, 75.0, E
Hot FM, 75.0, E
Illusion +, 75.0, E
Illusion +, 75.0, E
Inahealth TV, 75.0, E
India News Punjab, 75.0, E
Indijskoe Kino, 75.0, E
Indiya, 75.0, E
Indiya, 75.0, E
Investigation Discovery India, 75.0, E
Istoriya Telekanal, 75.0, E
Istoriya Telekanal, 75.0, E
Jak TV, 75.0, E
Jan TV, 75.0, E
JTV, 75.0, E
Juvelirochka, 75.0, E
Juvelirochka, 75.0, E
Kaleidoskop TV, 75.0, E
Kaleidoskop TV, 75.0, E
Kamedi, 75.0, E
Kapitan Fantastika, 75.0, E
Karusel, 75.0, E
Karusel, 75.0, E
Karusel International, 75.0, E
Kerkük FM, 75.0, E
Khabar Fast, 75.0, E
KHL, 75.0, E
KHL Prime, 75.0, E
Kino TV, 75.0, E
Kino TV, 75.0, E
Kinohit, 75.0, E
KinoJam 1, 75.0, E
KinoJam 2, 75.0, E
Kinokomedija, 75.0, E
Kinoman, 75.0, E
Kinoman, 75.0, E
Kinomiks, 75.0, E
KinoMult, 75.0, E
KinoMult, 75.0, E
Kinopokaz, 75.0, E
Kinopremyera, 75.0, E
Kinosemja, 75.0, E
Kinoserija, 75.0, E
Kinosvidanie, 75.0, E
Kinosvidanie, 75.0, E
Kinouzhas, 75.0, E
Kion Hit, 75.0, E
Kirkuk TV, 75.0, E
Kompas TV, 75.0, E
Konniy Mir, 75.0, E
Krasnaya Liniya, 75.0, E
Kuhnya TV, 75.0, E
KVN TV, 75.0, E
La Minor, 75.0, E
Lapki Live, 75.0, E
Lapki Live International, 75.0, E
LDPR TV, 75.0, E
LDPR TV, 75.0, E
Leomax 24, 75.0, E
Leomax 24, 75.0, E
Love Nature, 75.0, E
Lubimoe Kino, 75.0, E
Luxury, 75.0, E
Magas, 75.0, E
Magnat, 75.0, E
Mama, 75.0, E
Mama, 75.0, E
Manis FM, 75.0, E
Match Premier, 75.0, E
Match!, 75.0, E
Match! Arena, 75.0, E
Match! Boets, 75.0, E
Match! Futbol 1, 75.0, E
Match! Futbol 2, 75.0, E
Match! Futbol 3, 75.0, E
Match! Igra, 75.0, E
Match! Planeta, 75.0, E
Match! Strana, 75.0, E
Maximum 103.7 FM, 75.0, E
Mazhavil Manorama, 75.0, E
MBC 2, 75.0, E
MBC 3, 75.0, E
MBC 4, 75.0, E
MBC 5, 75.0, E
MBC Action, 75.0, E
MBC Bollywood, 75.0, E
MBC Drama, 75.0, E
MBC Maser, 75.0, E
MBC Maser 2, 75.0, E
MBC Max, 75.0, E
Metro TV, 75.0, E
Mezzo, 75.0, E
Minnal FM, 75.0, E
Mir, 75.0, E
Mir, 75.0, E
Mir, 75.0, E
Mir +4, 75.0, E
Mir 24, 75.0, E
Mir 24, 75.0, E
Mir Basketbola, 75.0, E
MMA-TV.com, 75.0, E
MNC TV, 75.0, E
MNX, 75.0, E
Molek FM, 75.0, E
Mosfilm, 75.0, E
Mosfilm, 75.0, E
Mosfilm International, 75.0, E
Mosfilm Zolotaya kollektsiya, 75.0, E
Moskva 24, 75.0, E
Moskva 24, 75.0, E
Moskva 24, 75.0, E
Moskva Telekanal, 75.0, E
Moskva Telekanal, 75.0, E
Motorvision+, 75.0, E
Movies Now +, 75.0, E
Moya Planeta, 75.0, E
Moya Planeta, 75.0, E
Moya Planeta, 75.0, E
Moya Planeta, 75.0, E
Moya Stikhiya, 75.0, E
Mult, 75.0, E
Mult, 75.0, E
Mult, 75.0, E
Mult, 75.0, E
Mult i muzyka, 75.0, E
Mult i muzyka, 75.0, E
Multilandia, 75.0, E
Multilandia, 75.0, E
Muz Soyuz, 75.0, E
Muz Soyuz, 75.0, E
Muz TV, 75.0, E
Muzhskoe Kino, 75.0, E
Muzhskoy, 75.0, E
Muzika Pervogo, 75.0, E
Muzika Pervogo, 75.0, E
Muzika Pervogo International, 75.0, E
Nano TV, 75.0, E
Nasha Tema, 75.0, E
Nashe Novoe Kino, 75.0, E
Nasional FM, 75.0, E
National Geographic India, 75.0, E
Nauka, 75.0, E
Nauka, 75.0, E
NET, 75.0, E
News 18 Kannada, 75.0, E
News 18 Madhya Pradesh & Chhattisgarh, 75.0, E
News Hour, 75.0, E
News State Bihar Jharkhand, 75.0, E
News State MH & GA, 75.0, E
News Tamil 24x7, 75.0, E
News X, 75.0, E
NHK World Japan, 75.0, E
NHK World Japan, 75.0, E
Nick HD+, 75.0, E
Nickelodeon Norte, 75.0, E
NNT, 75.0, E
Nostalgia, 75.0, E
Nova Sport 5, 75.0, E
Nova Sport 6, 75.0, E
NPR AFN, 75.0, E
NST, 75.0, E
NST, 75.0, E
NTV, 75.0, E
NTV 7, 75.0, E
NTV Hit, 75.0, E
NTV Pravo, 75.0, E
NTV Serial, 75.0, E
NTV Stil, 75.0, E
Ocean HD, 75.0, E
Okhota i Rybalka, 75.0, E
Okhota i Rybalka, 75.0, E
Oruzhie, 75.0, E
Otkritiy Mir, 75.0, E
OTR, 75.0, E
Outdoor Channel International, 75.0, E
Palestine Al Yawm, 75.0, E
Pasand TV, 75.0, E
Peretz International, 75.0, E
Perviy kanal, 75.0, E
Perviy kanal CIS, 75.0, E
Pes i Ko, 75.0, E
Pes i Ko, 75.0, E
Plan B, 75.0, E
Plan B, 75.0, E
Playboy TV Europe, 75.0, E
Pobeda, 75.0, E
Pobeda, 75.0, E
Pobeda, 75.0, E
Pobeda International, 75.0, E
Poehali!, 75.0, E
Poehali!, 75.0, E
Poehali! International, 75.0, E
Prima Sport 1, 75.0, E
Prima Sport 2, 75.0, E
Prime News, 75.0, E
Pro Cinema, 75.0, E
Psikhologiya 21, 75.0, E
PTC Music, 75.0, E
Pyatnitsa!, 75.0, E
Pyatnitsa!, 75.0, E
Pyatnitsa! International, 75.0, E
Quran TV, 75.0, E
Radio Chanson, 75.0, E
Radio Klasik, 75.0, E
Radio Komsomolskaya Pravda, 75.0, E
Radio Mayak, 75.0, E
Radio Rossii, 75.0, E
Radio Vanya, 75.0, E
Radio Vanya, 75.0, E
Radio VERA, 75.0, E
Radio Zvezda, 75.0, E
Radost Moya, 75.0, E
Raj Musix Telugu, 75.0, E
Rajawali TV, 75.0, E
Ratnik, 75.0, E
RBK TV, 75.0, E
RBK TV, 75.0, E
RCTI, 75.0, E
Red Lips, 75.0, E
REN TV, 75.0, E
REN TV, 75.0, E
REN TV International, 75.0, E
Retro, 75.0, E
Retro, 75.0, E
Retro FM Rossiya, 75.0, E
Rock Action, 75.0, E
Rock Entertainment, 75.0, E
Rodja TV, 75.0, E
Rodnoe Kino, 75.0, E
Romance Películas, 75.0, E
Romedy Now, 75.0, E
RRI Net, 75.0, E
RT News, 75.0, E
RT News, 75.0, E
RTG TV, 75.0, E
RTM TV 1, 75.0, E
RTM TV 2, 75.0, E
RTM TV 6, 75.0, E
RTM TV Okey, 75.0, E
Ru TV, 75.0, E
Ru TV, 75.0, E
Russkaya Komediya, 75.0, E
Russkaya Komediya, 75.0, E
Russkaya Noch, 75.0, E
Russkij Extrem, 75.0, E
Russkij Extrem HD Rex, 75.0, E
Russkiy Bestseller, 75.0, E
Russkiy Bestseller, 75.0, E
Russkiy Detektiv, 75.0, E
Russkiy Detektiv, 75.0, E
Russkiy Illusion, 75.0, E
Russkiy Illusion, 75.0, E
Russkiy Illusion, 75.0, E
Russkiy Illusion Mezhdunarodnaya versiya, 75.0, E
Russkiy Roman, 75.0, E
Russkiy Roman, 75.0, E
Russkiy Roman, 75.0, E
Russkiy Roman, 75.0, E
Russkoe Radio, 75.0, E
Ryzhiy, 75.0, E
Sabah FM, 75.0, E
Sabah V FM, 75.0, E
San Porto, 75.0, E
San Porto, 75.0, E
Sarafan, 75.0, E
Sarafan, 75.0, E
Sarawak FM, 75.0, E
Sasmita Jaya TV, 75.0, E
Shalun, 75.0, E
Shanson TV, 75.0, E
Shayan TV, 75.0, E
Shop & Show, 75.0, E
Shopping Live, 75.0, E
Silk, 75.0, E
Sky Sports 21, 75.0, E
Skyleaf Eco TV, 75.0, E
Solntse, 75.0, E
Solntse, 75.0, E
Soyuz, 75.0, E
Spektrum, 75.0, E
Star Cinema, 75.0, E
Star Family, 75.0, E
Star Kiran, 75.0, E
Star Life India, 75.0, E
Star Sports 1 Bangla, 75.0, E
Star Sports 2, 75.0, E
Star Sports Select HD2, 75.0, E
Star World India, 75.0, E
Start, 75.0, E
Start, 75.0, E
STS, 75.0, E
STS, 75.0, E
STS International, 75.0, E
STS Kids, 75.0, E
STS Kids International, 75.0, E
STS Love, 75.0, E
Subbota!, 75.0, E
Subbota!, 75.0, E
Sukan RTM, 75.0, E
Suke TV, 75.0, E
Suke TV, 75.0, E
Sunna TV, 75.0, E
SuperGeroi, 75.0, E
Suspense, 75.0, E
SVBC Telugu, 75.0, E
Svoyo TV, 75.0, E
Swatantra TV, 75.0, E
Tata Play Darshan, 75.0, E
Tata Play English, 75.0, E
Tata Play Fun Learn, 75.0, E
Tata Play Theatre, 75.0, E
Tatar Music TV, 75.0, E
Tayny Galaktiki, 75.0, E
Tayny Galaktiki, 75.0, E
TBN Rossiya, 75.0, E
TBN Rossiya, 75.0, E
Techno 24, 75.0, E
Techno 24, 75.0, E
Telecafé, 75.0, E
Telecafé, 75.0, E
Telecafé International, 75.0, E
Telekanal 2x2, 75.0, E
Telekanal 360°, 75.0, E
Telekanal 360°, 75.0, E
Telekanal Doktor, 75.0, E
Telekanal Doktor, 75.0, E
Telekanal FAN, 75.0, E
Telekanal FAN, 75.0, E
Telekanal FAN, 75.0, E
Telekanal Futbol, 75.0, E
Telekanal Futbol, 75.0, E
Telekanal O!, 75.0, E
Telekanal O!, 75.0, E
Telekanal O! International, 75.0, E
Telekanal Spas, 75.0, E
Telekanal Zvezda, 75.0, E
Telekanal Zvezda, 75.0, E
Telekanal Zvezda, 75.0, E
Teleputeshestviya, 75.0, E
Tiji Russia, 75.0, E
Times Now Navbharat, 75.0, E
TNT, 75.0, E
TNT, 75.0, E
TNT 4, 75.0, E
TNT 4 International, 75.0, E
TNT International, 75.0, E
TNV Planeta, 75.0, E
Tochka Otryva, 75.0, E
Tochka Otryva, 75.0, E
Tochka TV, 75.0, E
Today's Special, 75.0, E
Top Secret, 75.0, E
Torre Ricca, 75.0, E
Trash, 75.0, E
Travel + Adventure, 75.0, E
Travel + Adventure, 75.0, E
Traxx FM, 75.0, E
Tri Angela, 75.0, E
Tri Angela, 75.0, E
TRT World, 75.0, E
TRT World, 75.0, E
Tuan Guru TV, 75.0, E
TUDN Centro, 75.0, E
TUDN México, 75.0, E
TV 3, 75.0, E
TV 3, 75.0, E
TV 3, 75.0, E
TV 3, 75.0, E
TV 3 International, 75.0, E
TV 9, 75.0, E
TV 9 Nusantara, 75.0, E
TV Alhijrah, 75.0, E
TV Alhijrah, 75.0, E
TV Bolt, 75.0, E
TV Centr, 75.0, E
TV Centr, 75.0, E
TV Centr International, 75.0, E
TV Edukasi, 75.0, E
TV Mu, 75.0, E
TV XXI, 75.0, E
TV5Monde Asie, 75.0, E
TVOne, 75.0, E
TVR Info, 75.0, E
TVRI Nasional, 75.0, E
TVRI Papua, 75.0, E
TVS, 75.0, E
U, 75.0, E
U, 75.0, E
Ultra HD Cinema, 75.0, E
Unikum, 75.0, E
Unikum, 75.0, E
Usadba, 75.0, E
Usadba, 75.0, E
V Gostyakh u Skazki, 75.0, E
Vesti FM, 75.0, E
Viju Explore, 75.0, E
Viju History, 75.0, E
Viju Nature, 75.0, E
Viju TV 1000, 75.0, E
Viju TV 1000 Action, 75.0, E
Viju TV 1000 Russkoe, 75.0, E
Vitrina TV, 75.0, E
Vmeste RF, 75.0, E
Vmeste RF, 75.0, E
Voprosy i Otvety, 75.0, E
Vremya, 75.0, E
Vremya, 75.0, E
Vremya International, 75.0, E
Wai FM, 75.0, E
Wanasah, 75.0, E
Wesal TV, 75.0, E
WowShop, 75.0, E
Zagorodnaya Zhizn, 75.0, E
Zdorovoe TV, 75.0, E
Zdorovoe TV, 75.0, E
Zee Bioskop, 75.0, E
Zee Café, 75.0, E
Zee Ganga, 75.0, E
Zhara TV, 75.0, E
Zhivaya Planeta, 75.0, E
Zhivaya Planeta, 75.0, E
Zhivi!, 75.0, E
Zhivi!, 75.0, E
Zoo Park, 75.0, E
Zoo Park, 75.0, E
ZooMoo Asia, 75.0, E
Zvezda Plus, 75.0, E
3ABN Kids Network, 3.0, W
5 Plus, 3.0, W
AccessBet, 3.0, W
AccessBet League, 3.0, W
Afric 7 TV, 3.0, W
Afrique Média, 3.0, W
AIR Aurangabad, 3.0, W
AIR FM Gold Mumbai, 3.0, W
AIR FM Rainbow Mumbai, 3.0, W
AIR Marathi, 3.0, W
AIR Nagpur, 3.0, W
AIR Pune, 3.0, W
Alfa TV, 3.0, W
Alikhbaria Syria, 3.0, W
Aljazeera English, 3.0, W
Animal Planet Brasil, 3.0, W
Astra, 3.0, W
AyM Sports, 3.0, W
Ayush TV, 3.0, W
Bang U, 3.0, W
Beats Plus, 3.0, W
BetBonanza Colour, 3.0, W
BetBonanza EPL, 3.0, W
BetKing Italiano, 3.0, W
BetKing Live League, 3.0, W
Big Brother Israel, 3.0, W
Bloomberg TV US, 3.0, W
Bonanza Ballz, 3.0, W
Bravo East, 3.0, W
Bravo East, 3.0, W
Brazzers TV XX, 3.0, W
C-SPAN, 3.0, W
C-SPAN 2, 3.0, W
Canal 22 Internacional, 3.0, W
Canal Pro, 3.0, W
CB TV Michoacan, 3.0, W
CCTV 1, 3.0, W
CCTV 10, 3.0, W
CCTV 12, 3.0, W
CCTV 13, 3.0, W
CCTV 14, 3.0, W
CCTV 15, 3.0, W
CCTV 2, 3.0, W
CCTV 4 Asia, 3.0, W
Channels TV, 3.0, W
Ciel TV, 3.0, W
Cinemax East, 3.0, W
CineStar 1, 3.0, W
CineStar Premiere 1, 3.0, W
CineStar Premiere 2, 3.0, W
CNBC US, 3.0, W
CNN USA, 3.0, W
CNR 1 Voice of China, 3.0, W
CNR 10 Senior Citizen Radio, 3.0, W
CNR 12 Reading Radio, 3.0, W
